step_number,stage_name,command_run,success,output_folder,final_classification,key_metrics,matched_expected_target,notes
P13,Native five-year mission gap,.venv311/bin/python -m structural_compounding_lab.diagnostics.native_sr_aware_5y_mission_gap_audit,true,structural_compounding_lab/output/native_sr_aware_5y_mission_gap_audit_001/,FIVE_YEAR_GAP_READY_FOR_MONTE_CARLO_RETEST_RESEARCH_ONLY,"bridge_average=1109260.21; bridge_1M_hits=22",partial,Slight precursor metric drift versus frozen Windows narrative; downstream frozen bridge retest matched.
P14,Strict milestone bridge Monte Carlo,.venv311/bin/python -m structural_compounding_lab.diagnostics.strict_sr_aware_milestone_bridge_monte_carlo_audit,true,structural_compounding_lab/output/strict_sr_aware_milestone_bridge_monte_carlo_audit_001/,BRIDGE_PROMISING_BUT_FRAGILE,"rolling_average=1089270.35; median=1015162.12; 1M_hits=21",true,Matches README bridge court.
P15,Milestone bridge fragility repair,.venv311/bin/python -m structural_compounding_lab.diagnostics.milestone_bridge_fragility_driver_repair_audit,true,structural_compounding_lab/output/milestone_bridge_fragility_driver_repair_audit_001/,FRAGILITY_REPAIR_1M_PROMISING_RESEARCH_ONLY,"main_driver=cost_drag_and_trade_redundancy; 1M_hits=21",true,Required prerequisite for trusted execution-cost baseline.
2,Trusted 1H baseline and execution-cost court,.venv311/bin/python -m structural_compounding_lab.diagnostics.execution_cost_realism_and_trade_redundancy_audit,true,structural_compounding_lab/output/execution_cost_realism_and_trade_redundancy_audit_001/,EXECUTION_REDUNDANCY_WEAK,"normal_average=792824.55832; normal_median=786049.44639; 1M_hits=12",true,Exact expected baseline restored.
3,12H native execution rejection,.venv311/bin/python -m structural_compounding_lab.diagnostics.native_12h_execution_sleeve_discovery_audit,true,structural_compounding_lab/output/native_12h_execution_sleeve_discovery_audit_001/,NATIVE_12H_EXECUTION_REJECTED,"baseline_reconciliation=true; best_12H_average=22536.73",true,12H execution remains retired and diagnostic only.
P16,300k aggressive milestone court,.venv311/bin/python -m structural_compounding_lab.diagnostics.milestone_gated_explosive_compounding_audit,true,structural_compounding_lab/output/milestone_gated_explosive_compounding_audit_001/,MILESTONE_GATED_COMPOUNDING_IMPROVES_BUT_FRAGILE,"best=GEAR_AFTER_300K_AGGRESSIVE_CONTROLLED; average=1017260.03",true,Aggressive gear remains research comparison only.
P17,Milestone fragility repair,.venv311/bin/python -m structural_compounding_lab.diagnostics.milestone_gated_compounding_fragility_repair_audit,true,structural_compounding_lab/output/milestone_gated_compounding_fragility_repair_audit_001/,MILESTONE_FRAGILITY_REPAIR_IMPROVES_BUT_STILL_FRAGILE,"repaired_average=826512.16; still_fragile=true",true,Prerequisite omitted from migration CSV.
5,Earned gear discovery,.venv311/bin/python -m structural_compounding_lab.diagnostics.earned_gear_activation_discovery_audit,true,structural_compounding_lab/output/earned_gear_activation_discovery_audit_001/,EARNED_GEAR_DISCOVERY_IMPROVES_BUT_FRAGILE,"best=AGGRESSIVE_CONTROLLED_REFERENCE_300K; aggressive_gear_shadow_log_only=true",true,Successful run promoted from timestamped resume-safe folder; blocked attempt preserved.
4,1H plus 6H context reconciliation,.venv311/bin/python -m structural_compounding_lab.diagnostics.htf_context_role_reconciliation_audit,true,structural_compounding_lab/output/htf_context_role_reconciliation_audit_001/,SIX_H_CONTEXT_IMPROVES_1H_RESEARCH_ONLY,"variant=LIGHT_BOOST_6H_CONFLUENCE; average=881465.531787; median=878431.045803",true,Exact expected context result restored.
6,6H native execution scout,.venv311/bin/python -m structural_compounding_lab.diagnostics.six_hour_native_execution_tide_context_audit,true,structural_compounding_lab/output/six_hour_native_execution_tide_context_audit_001/,SIX_H_NATIVE_EXECUTION_WEAK,"combined_average=169761.73; combined_1M_hits=0",true,12H/1D/1W remain diagnostic only.
7,Shadow-forward validation specification,.venv311/bin/python -m structural_compounding_lab.diagnostics.shadow_forward_validation_spec_audit,true,structural_compounding_lab/output/shadow_forward_validation_spec_audit_001/,SHADOW_SPEC_READY_WITH_6H_CONTEXT_RESEARCH_ONLY,"duration=90d; min_signals=50; readiness_gates=12",true,No execution path created.
8,Shadow observer,".venv311/bin/python -m structural_compounding_lab.shadow_forward.shadow_forward_observer --mode dry_run_backfill --source-csv data_storage/BTCUSDT/1m/BTCUSDT_1m_2025-12-13_to_2026-06-13.csv",true,structural_compounding_lab/output/shadow_forward_observer_001/,SHADOW_OBSERVER_READY_RESEARCH_ONLY,"decisions=4329; accepted=547; reproduction_accuracy=1.0",true,Historical backfill does not grant paper readiness.
9,Watchtower append-only observation,".venv311/bin/python -m structural_compounding_lab.shadow_forward.shadow_forward_watchtower --mode single_cycle --source-csv data_storage/BTCUSDT/1m/BTCUSDT_1m_2018-01-01_to_2026-06-13.csv",true,structural_compounding_lab/output/shadow_forward_watchtower_001/,WATCHTOWER_READY_BUT_WAITING_FOR_FORWARD_DAYS,"forward_days=8; observed_decisions=189; gaps=0",true,Initial stale bootstrap ledger preserved separately and clean watchtower rebuilt from canonical tape.
10,Fresh BTC updater,"BINANCE_API_KEY='' BINANCE_API_SECRET='' .venv311/bin/python -m structural_compounding_lab.shadow_forward.fresh_btcusdt_data_updater --mode update_and_catchup",true,structural_compounding_lab/output/fresh_btcusdt_data_updater_001/,FRESH_DATA_READY_AND_WATCHTOWER_STARTED,"rows_appended=660; canonical_rows=273420; gaps=0; duplicates=0; latest=2026-06-20T20:59:00",true,Public Binance klines only; no account/order endpoint.
11,Pilot automation,".venv311/bin/python -m structural_compounding_lab.shadow_forward.shadow_forward_pilot_automation --mode self_check && .venv311/bin/python -m structural_compounding_lab.shadow_forward.shadow_forward_pilot_automation --mode daily_status",true,structural_compounding_lab/output/shadow_forward_pilot_automation_001/,AUTOMATION_READY_FOR_MANUAL_APPROVAL,"self_check=PASS; daily_status=YELLOW; warning=scheduler_not_installed_yet; paper_validation_ready=false",true,Canonical data is fresh and gap-free; scheduler remains intentionally uninstalled.
12,Last 6 month walk-forward validation,".venv311/bin/python -m structural_compounding_lab.diagnostics.last_6_month_walk_forward_validation --source-csv structural_compounding_lab/data_storage/BTCUSDT/1m/btcusdt_1m_canonical_shadow_forward.csv --start 2025-12-13T00:00:00Z --end 2026-06-20T20:59:00Z --output-dir structural_compounding_lab/output/last_6_month_walk_forward_validation_001",true,structural_compounding_lab/output/last_6_month_walk_forward_validation_001/,LAST_6M_WALK_FORWARD_VALIDATION_PASSED_RESEARCH_ONLY,"rows=273420; 1h_evaluated=4518; accepted_trades=30; total_R=48.194794; profit_factor=25.097397; max_drawdown_pct=0.01; gaps=0; duplicates=0",true,Frozen strategy behavior remained unchanged; 6H stayed annotation-only; paper_validation_ready=false; no paper/live/order/broker path created.
